year,month,day,time,total_seconds,longitude,latitude,depth_km,h3dd_event_index,magnitude
2024,4,2,2024-04-02T23:58:10.28,86290.28,121.575,23.853,18.44,177,6.633221651155441
2024,4,3,2024-04-03T00:00:19.61,19.61,121.583,23.809,29.77,178,5.420308061950946
2024,4,3,2024-04-03T00:00:57.62,57.62,121.654,24.203,29.44,179,4.976405327312994
2024,4,3,2024-04-03T00:01:50.12,110.12,121.721,23.985,41.65,180,5.089411405797842
2024,4,3,2024-04-03T00:02:23.17,143.17000000000002,121.706,24.163,37.02,181,4.874652855762303
2024,4,3,2024-04-03T00:03:46.38,226.38,121.729,23.959,37.91,182,4.773837077853472
2024,4,3,2024-04-03T00:04:45.11,285.11,121.663,24.164,36.82,183,4.642676502598387
2024,4,3,2024-04-03T00:06:12.58,372.58,121.85,24.192,20.76,184,4.5836806564365
2024,4,3,2024-04-03T00:07:04.88,424.88,121.537,24.041,13.95,185,3.721830065459453
2024,4,3,2024-04-03T00:07:22.29,442.29,121.573,23.824,22.14,186,4.201994692712528
2024,4,3,2024-04-03T00:08:40.56,520.56,121.832,24.018,17.26,187,4.30074096285146
2024,4,3,2024-04-03T00:08:54.72,534.72,121.315,24.046,32.22,188,4.4192729208282175
2024,4,3,2024-04-03T00:09:30.99,570.99,121.761,24.191,20.24,189,4.781584166586526
2024,4,3,2024-04-03T00:09:49.35,589.35,121.662,24.054,40.03,190,4.54137197959788
